Species                                     mean   stdev      # of genomes
Erysipelothrix_rhusiopathiae               3.875   1.959       8
Escherichia_albertii                       37.93   26.92      14
Escherichia_coli                           20.55   15.89     898
Escherichia_fergusonii                      12.8   7.727       5
Ethanoligenens_harbinense                   20.2   11.69       5
Flavobacterium_columnare                   45.17   47.93       6
Flavobacterium_psychrophilum               189.1   98.35      10
Francisella_noatunensis                    5.913   11.07      23
Francisella_philomiragia                   4.571   3.867       7
Francisella_tularensis                     34.95   24.51      37
Fusobacterium_necrophorum                   23.2   24.21       5
Fusobacterium_nucleatum                    30.19   24.21      16
Fusobacterium_periodonticum                 29.7   12.52      10
Gardnerella_vaginalis                       25.0    38.0       7
Glaesserella_parasuis                      59.89   27.67       9
Gluconobacter_oxydans                       45.8   59.07       5
Granulibacter_bethesdensis                   5.5   4.007      10
Haemophilus_influenzae                     26.23   27.01      66
Helicobacter_cinaedi                       19.33   14.57       6
Helicobacter_pylori                        21.71   13.34     170
Histophilus_somni                          10.86   16.93      21
Ketogulonicigenium_vulgare                   4.4   3.912       5
Klebsiella_aerogenes                       85.63   136.9      27
Klebsiella_michiganensis                   77.64   182.0      11
Klebsiella_oxytoca                         30.33   20.31      18
Klebsiella_pneumoniae                      13.46    18.8     376
Klebsiella_quasipneumoniae                   9.5   11.19      16
Klebsiella_variicola                        16.5   15.31      20
Lactobacillus_acidophilus                  19.88   51.38       8
Lactobacillus_backii                        27.0   10.17       5
Lactobacillus_brevis                        30.8   32.51      20
Lactobacillus_casei                          6.5   4.135       6
Lactobacillus_curvatus                       9.0   6.573      11
Lactobacillus_delbrueckii                  20.77   10.69      22
Lactobacillus_fermentum                    25.94   29.34      17
Lactobacillus_helveticus                   23.94     9.0      16
Lactobacillus_johnsonii                     18.1    17.0      10
Lactobacillus_paracasei                    19.78   15.99      27
Lactobacillus_pentosus                       5.8   5.215       5
Lactobacillus_plantarum                    16.22   14.66      99
Lactobacillus_reuteri                      10.67    9.17      15
Lactobacillus_rhamnosus                    28.05   34.46      20
Lactobacillus_sakei                        7.412    6.69      17
Lactobacillus_salivarius                    7.75   3.576       8
Lactococcus_lactis                         22.85   18.46      39
Leclercia_adecarboxylata                     7.6   9.737       5
Legionella_pneumophila                     18.07   22.76      97
Leptospira_borgpetersenii                  59.33   30.08       6
Leptospira_interrogans                     37.46   23.88      13
Leuconostoc_citreum                          1.8   0.837       5
Leuconostoc_mesenteroides                  10.75   11.48      16
Listeria_ivanovii                          5.125   5.693       8
Listeria_monocytogenes                     11.92   33.02     183
Lysinibacillus_sphaericus                   16.0   29.26       7
Mannheimia_haemolytica                     42.79   24.02      85
Mesoplasma_florum                            1.0     0.0       9
Metallosphaera_sedula                        1.0     0.0       6
Methanococcus_maripaludis                  4.778   4.381       9
Methanosarcina_barkeri                     134.2   136.9       6
Methanosarcina_mazei                       17.29   7.868       7
Methylorubrum_extorquens                    11.0    5.02       6
Micrococcus_luteus                          14.5   9.935       6
Moorella_thermoacetica                      11.0   9.033       6
Moraxella_bovoculi                         15.43   13.84       7
Moraxella_catarrhalis                      5.167   2.657      12
Moraxella_osloensis                        9.714   4.231       7
Morganella_morganii                        19.75   15.36      12
Mycobacterium_avium                        50.31   27.98      26
Mycobacterium_chimaera                     5.875   3.796       8
Mycobacterium_intracellulare               4.625   4.033       8
Mycobacterium_marinum                       13.6   8.325       5
Mycobacterium_tuberculosis                 8.792   18.12     178
Mycobacteroides_abscessus                  21.12   28.19      33
Mycolicibacterium_smegmatis                43.71    20.7       7
Mycoplasma_bovis                             2.0   1.348      12
Mycoplasma_californicum                    1.875   2.475       8
Mycoplasma_capricolum                        3.4   4.949      10
Mycoplasma_gallisepticum                   3.333   1.759      15
Mycoplasma_genitalium                        1.0     0.0       5
Mycoplasma_hominis                           1.0     0.0       7
Mycoplasma_hyopneumoniae                     2.0   1.323       9
Mycoplasma_hyorhinis                       2.875   1.246       8
Mycoplasma_mycoides                         4.03   4.312      33
Mycoplasma_pneumoniae                      1.408   1.802      49
Mycoplasma_synoviae                          1.6   0.548       5
Myxococcus_xanthus                         21.71   28.73       7
Neisseria_gonorrhoeae                      34.71   15.68      49
Neisseria_meningitidis                     26.97   16.61     106
Oblitimonas_alkaliphila                    22.83   12.98       6
Orientia_tsutsugamushi                     72.56   41.46       9
Paenibacillus_larvae                       31.44   21.91       9
Paenibacillus_polymyxa                     46.15   20.88      13
Pandoraea_apista                            15.8   11.37       5
Pandoraea_pnomenusa                        5.286   3.094       7
Pantoea_agglomerans                          9.2    5.02       5
Pantoea_ananatis                             8.0   8.751       8
Pantoea_vagans                             13.67   22.87       6
Pasteurella_multocida                      21.58   40.16      60
Pectobacterium_carotovorum                 9.375    5.78       8
Pectobacterium_parmentieri                 22.27   23.76      11
Pediococcus_acidilactici                   14.73   16.84      11
Pediococcus_damnosus                        21.0   10.07       5
Pediococcus_pentosaceus                      1.0     0.0       9
Phaeobacter_gallaeciensis                  20.25   39.93       8
Phaeobacter_inhibens                       25.59   16.78      22
Phaeobacter_piscinae                       9.286   3.302       7
Piscirickettsia_salmonis                   74.45   61.44      20
Polynucleobacter_necessarius               4.375   4.596       8
Porphyromonas_gingivalis                   27.05   11.57      21
Prevotella_intermedia                      31.21   15.36      14
Prochlorococcus_marinus                    16.36    15.3      11
Propionibacterium_freudenreichii            19.5   15.67      16
Proteus_mirabilis                           17.6   7.594      25
Providencia_stuartii                       9.714   6.291       7
Pseudomonas_aeruginosa                     38.77   45.59     200
Pseudomonas_brassicacearum                  34.6   71.25       5
Pseudomonas_chlororaphis                   44.44   96.41      43
