species                                  singles   blocs     bs  len/bloc          n
Pectobacterium_parmentieri                 2.727   11.82  0.9969   317.9          11
Pediococcus_acidilactici                  0.5455   2.364  0.9985   581.3          11
Pediococcus_damnosus                         4.8    20.6  0.9881   73.34           5
Pediococcus_pentosaceus                      0.0     1.0     1.0 1.034e+03           9
Phaeobacter_gallaeciensis                    3.5   20.25  0.9919   95.53           8
Phaeobacter_inhibens                       1.636   18.14  0.9878   165.0          22
Phaeobacter_piscinae                       1.429   9.286  0.9978   359.2           7
Piscirickettsia_salmonis                   13.85    48.4  0.9516   37.87          20
Polynucleobacter_necessarius                0.25   4.375  0.9933   140.6           8
Porphyromonas_gingivalis                    2.19   21.14  0.9846   65.01          21
Prevotella_intermedia                      2.286   25.93  0.9756    56.2          14
Prochlorococcus_marinus                    4.364   15.55  0.9416   17.09          11
Propionibacterium_freudenreichii             1.5   11.81  0.9917   120.9          16
Proteus_mirabilis                           2.12    6.64  0.9972   355.5          25
Providencia_stuartii                       2.286   9.714  0.9968   311.7           7
Pseudomonas_aeruginosa                      3.11   10.73  0.9972   355.9         200
Pseudomonas_brassicacearum                  12.0    34.6  0.9924   130.8           5
Pseudomonas_chlororaphis                    3.07    10.0  0.9973   441.9          43
Pseudomonas_fluorescens                    24.35   109.2  0.9559   24.16          20
Pseudomonas_mendocina                        4.5   30.33  0.9906   105.4           6
Pseudomonas_monteilii                       19.0    58.0  0.9761   41.48           5
Pseudomonas_orientalis                       3.0    16.0  0.9963   269.8           5
Pseudomonas_protegens                      5.429   28.57  0.9944   176.5           7
Pseudomonas_putida                         47.31   173.1    0.94   16.83          32
Pseudomonas_stutzeri                       37.61   149.8  0.8846    8.68          18
Pseudomonas_synxantha                     0.2857   3.714  0.9993 1.218e+03           7
Pseudomonas_syringae                       6.724   60.24  0.9815   58.72          29
Rahnella_aquatilis                         1.667     6.5  0.9984   598.7           6
Ralstonia_solanacearum                     6.378   34.29  0.9794   92.87          45
Raoultella_ornithinolytica                 3.625   11.75  0.9968   299.5           8
Rhizobium_etli                              14.0   45.67   0.973   56.61           6
Rhizobium_leguminosarum                      7.5    26.5  0.9886   148.7          12
Rhizobium_phaseoli                         3.643   17.57  0.9894   280.5          14
Rhodobacter_sphaeroides                    5.444   40.33  0.9775   64.62           9
Rhodococcus_ruber                            1.2     5.8  0.9987   736.9           5
Rhodopseudomonas_palustris                  18.9    79.4   0.962   27.31          10
Rickettsia_japonica                         1.25     4.0  0.9966   291.8          12
Rickettsia_prowazekii                        0.0     1.0     1.0   717.1          10
Rickettsia_rickettsii                        0.0   1.273  0.9997   880.0          11
Riemerella_anatipestifer                   2.692   15.23  0.9886   88.67          13
Saccharolobus_solfataricus                 14.92   41.25  0.9807   51.95          12
Salinibacter_ruber                         0.125    1.25  0.9998 1.543e+03           8
Salmonella_enterica                        1.043   6.823  0.9971   349.1         751
Serratia_fonticola                          11.6    32.0  0.9911   111.2           5
Serratia_marcescens                       0.2609   1.717  0.9997 2.014e+03          46
Serratia_plymuthica                        6.778   16.33  0.9935   153.4           9
Serratia_rubidaea                            0.8     4.2   0.998   443.3           5
Shewanella_baltica                         2.333   14.22  0.9955   220.5           9
Shewanella_putrefaciens                      3.8    36.6  0.9843   63.52           5
Sinorhizobium_fredii                         9.0    39.2  0.9332   92.26           5
Sinorhizobium_meliloti                     8.136    23.0  0.9865   183.2          22
Sorangium_cellulosum                       106.2   218.2  0.9417   17.14           5
Staphylococcus_argenteus                     0.2     1.4  0.9997 1.605e+03           5
Staphylococcus_aureus                     0.1626   1.575  0.9992   807.7         449
Staphylococcus_epidermidis                 1.263   5.947  0.9964   290.9          19
Staphylococcus_haemolyticus               0.2222   3.333  0.9981   500.4           9
Staphylococcus_lugdunensis                   1.0     3.9  0.9982   545.9          10
Staphylococcus_pseudintermedius            1.571   6.143  0.9968   294.3           7
Staphylococcus_saprophyticus              0.7778   2.667  0.9988   745.4           9
Staphylococcus_schleiferi                 0.3333     1.5  0.9997 1.303e+03           6
Staphylococcus_simulans                    2.286   5.714  0.9978   374.4           7
Staphylococcus_warneri                       0.8     2.8  0.9988   714.6           5
Staphylococcus_xylosus                       0.4     2.4  0.9992   924.9           5
Stenotrophomonas_maltophilia               1.375   4.167  0.9987   718.4          24
Streptococcus_agalactiae                  0.1458   2.479  0.9984   486.1          96
Streptococcus_anginosus                    1.571   7.571  0.9943   172.6           7
Streptococcus_dysgalactiae                0.8421   4.737  0.9961   254.6          19
Streptococcus_equi                         1.154   6.154  0.9957   229.6          13
Streptococcus_gallolyticus                 2.571   13.43  0.9888   88.02           7
Streptococcus_gordonii                       1.3     4.6  0.9973   359.8          10
Streptococcus_iniae                        3.857   12.43  0.9927   134.9           7
Streptococcus_intermedius                 0.3333     3.5  0.9976   403.1           6
Streptococcus_mitis                          2.2    23.8  0.9811   52.35           5
Streptococcus_mutans                       1.636   8.545  0.9936   175.8          11
Streptococcus_oralis                       1.167   11.67   0.991   109.0           6
