origin_dist,gene_length,replichore
296587,1127,0
297518,1222,1
297720,791,0
298547,926,0
299122,1025,1
299513,296,1
299618,1349,0
300072,425,1
300991,301,0
301289,203,0
301374,1289,1
301492,1649,0
301781,353,1
302499,179,1
302604,83,1
303496,242,0
303852,638,0
304010,1352,1
304487,737,0
304924,842,1
305224,2096,0
307169,2042,1
307367,278,0
307860,410,0
307929,752,1
308314,1475,0
309447,1469,1
309581,179,1
309948,210,0
310161,890,0
310199,434,1
310925,335,1
311066,1544,0
312495,1499,1
312764,1190,0
313929,1202,1
314047,95,0
314319,1115,0
315297,1052,1
315506,1340,0
315662,182,1
317089,920,0
317288,1376,1
318238,194,0
318523,1295,0
319172,1622,1
319935,92,0
320041,497,0
320551,872,0
320605,1067,1
321578,2423,0
323337,2735,1
324172,368,0
324461,1124,1
324650,608,0
324795,275,1
325151,359,1
325277,1379,0
325672,401,1
326484,806,1
326772,209,0
327023,515,0
327245,764,1
327856,254,0
328078,833,1
328134,707,0
329019,944,1
329205,1037,0
330376,242,0
330593,1574,1
330784,983,0
331291,587,1
331850,1415,0
332395,1049,1
333318,1079,0
333744,1217,1
334305,557,1
334650,1193,0
335043,665,1
335509,245,1
336065,542,0
336970,713,0
337794,416,0
337809,2198,1
338214,356,0
338509,626,1
338605,2822,0
339009,359,1
339281,269,1
339867,596,1
341510,1493,1
341681,536,0
342181,668,1
342316,281,0
342556,146,0
343027,1586,0
343232,1058,1
344331,854,1
344616,323,0
345025,464,0
345476,266,0
345705,1103,1
345780,218,0
345937,197,0
346035,1349,0
346121,266,1
346655,527,1
347035,383,1
347307,137,1
347535,1649,0
348568,1109,1
349338,1292,0
349542,926,1
350808,1649,0
350816,1277,1
351580,767,1
352295,713,1
352454,314,0
352968,1958,0
354007,1316,1
354992,887,1
355037,185,0
355318,1436,0
355834,845,1
356799,566,0
356906,1070,1
357362,671,0
357646,743,1
358030,956,0
358073,440,1
359066,1658,0
359935,1742,1
360257,284,1
360685,110,1
360717,383,0
361097,596,0
361201,494,1
361930,191,0
362035,1313,0
362376,1178,1
363101,488,1
363399,183,1
363426,689,0
364209,2147,0
364470,1037,1
365288,695,1
366507,995,1
366554,1466,0
367173,527,1
368017,2051,0
368517,1340,1
369167,593,1
370068,1031,0
370463,1103,1
371118,275,0
371602,1985,0
372922,2186,1
373840,317,0
374226,329,0
374702,758,0
374892,1973,1
375462,434,0
375883,557,0
376205,1295,1
376440,1136,0
377573,680,0
377638,1433,1
378364,758,0
379119,845,0
379957,1064,0
